SZG;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filial;N.Cilindro;Propriedade;Cod. Proprie;Loja Proprie;Nome Proprie;Capacidade;Dt.Fabric;Dt.Validade;Cod. Barras;Cil. Cond.;Dt.Cond.Cil.;Peso Cilindr;Org Inspetor;Bloqueado?;Fabricante;Filial Propr;Revisado?;N.Pinado Cil;N.Usado Cli.;Cod.Produto;Desc.Produto;Cod.Prod.BP3;Desc.Prod.P3;Status;Tp Embalagem;Cod.Memo 1;Dt.Inc.Cad.
1;1003;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S A;50;01/06/2018;01/06/2023;1003B005001062018;Nao;  /  /  ;48,5;SBI;Não;MAT SA ;;Sim;CDW1003;CDW1003;MI0060121;;;;Em Uso      ;Cilindro;;  /  /  
1;1003;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S.A;68;01/07/2016;01/07/2021;1003B006801072016;Nao;  /  /  ;61;SBI;Não;MAT SA ;;Sim;EIU1003;EIU1003;MI0060120;CILINDRO CAPACIDADE 68 / KG;;;Em Uso      ;Cilindro;;  /  /  
1;1004;Cliente;1874;1;SAAE- SERV.AUT.AGUA E ESGOTO - PALMARES;50;01/04/2014;30/03/2024;1004C005001042014;Nao;  /  /  ;56,1;SBI;Não;MAT SA ;;Sim;1004;1004;MT0000024;;;;Em Uso      ;Cilindro;683366;  /  /  
1;1004;Cliente;1840;1;CAGEPA CIA AGUA E ESGOTOS DA PARAIBA;68;01/03/2014;01/03/2019;1004C006801032014;Nao;  /  /  ;64,1;SBI;Não;MAT SA ;;Sim;BCH1004;BCH1004;MT0000025;;;;Em Uso      ;Cilindro;;  /  /  
1;1004;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S.A;68;01/07/2016;01/07/2021;1004B006801072016;Nao;  /  /  ;62;SBI;Não;MAT SA ;;Sim;EIU1004;EIU1004;MI0060120;CILINDRO CAPACIDADE 68 / KG;;;Em Uso      ;Cilindro;;  /  /  
1;10043;Cliente;2273;8;PETROLEO BRASILEIRO S A PETROBRAS;900;01/06/2018;01/06/2023;10043C0900010618;Nao;  /  /  ;742;SBI;Não;CBC    ;;Sim;10043;10043;MT0000026;CILINDRO CAPACIDADE 900 KGS;;;Em Uso      ;Cilindro;;  /  /  
1;10044;Cliente;2273;1;PETROLEO BRASILEIRO S.A - PETROBRAS;900;01/06/2002;24/04/2019;10044C0900010602;Nao;  /  /  ;741;SBI;Não;GBC    ;;Sim;10044;10044;MT0000026;CILINDRO CAPACIDADE 900 KGS;;;Em Uso      ;Cilindro;;  /  /  
1;1005;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S A;68;01/06/2016;01/06/2021;1005B0068010616;Nao;  /  /  ;62,6;SBI;Não;MAT SA ;;;EIU1005;EIU1005;MI0060120;;;;Em Uso      ;Cilindro;;  /  /  
1;1005;Cliente;1840;1;CAGEPA CIA AGUA E ESGOTOS DA PARAIBA;68;01/04/2017;01/04/2022;1005C006801042017;Nao;  /  /  ;63,9;SBI;Não;MAT SA ;;Sim;BCH1005;BCH1005;MT0000025;;;;Em Uso      ;Cilindro;;  /  /  
1;1006;Cliente;1840;1;CAGEPA CIA AGUA E ESGOTOS DA PARAIBA;68;01/07/2017;01/07/2022;1006C0068010717;Nao;  /  /  ;63,1;SBI;Não;MAT SA ;;Sim;BCH1006;BCH1006;MT0000025;;;;Em Uso      ;Cilindro;;  /  /  
1;1007;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S A;68;30/04/2018;30/04/2023;1007B0068300418;Nao;  /  /  ;61,1;SBI;Não;MAT SA ;;Sim;EIU1007;EIU1007;MI0060120;;;;Em Uso      ;Cilindro;;  /  /  
